,borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
0,Queens,24.393320571194906,2.5340637073845986,10.013428749871153,Computer Information Systems,1,1,1,1,1,P
1,Brooklyn,23.746305494155607,3.4825313515832454,11.664307722854986,Computer Information Systems,0,0,1,0,1,P
2,Outside NYC,21.594689895367303,4.277923854682339,5.554419790700867,Computer Information Systems,0,1,0,1,0,P
3,Outside NYC,20.59714727012704,4.704442655235509,3.828949689394904,Computer Science,0,0,1,1,1,P
4,Outside NYC,23.58552818213764,2.8808246097493426,5.088847463507656,Computer Information Systems,0,1,1,0,1,P
5,Manhattan,23.72012612013875,3.6719643456210367,14.967128752953016,Computer Information Systems,1,1,0,1,1,P
6,Staten Island,24.774408972914923,2.795774560423898,-5.4463154601948744,Computer Information Systems,1,1,0,0,1,P
7,Queens,21.03408979609959,2.4904515735665225,4.071295910964695,Computer Information Systems,0,1,1,0,0,P
8,Outside NYC,23.93328753647458,1.9104641652736016,0.06927903118780421,Computer Information Systems,0,1,0,1,1,P
9,Outside NYC,18.42146408405115,2.8236467310682567,2.9252991327300895,Computer Information Systems,1,1,1,0,0,P
10,Outside NYC,22.462035808596603,2.738760754792782,-3.427801802471512,Computer Science,0,1,1,0,0,P
11,Bronx,27.208360890469837,3.522908540800207,5.471588264236566,Computer Information Systems,0,1,0,0,1,P
12,Brooklyn,21.64118141103333,2.723597073069818,6.077928448582057,Computer Science,0,1,0,1,1,P
13,Queens,18.67833894666356,2.5034957967994202,7.667346450576997,Computer Information Systems,0,1,0,1,1,P
14,Bronx,25.04147452314537,2.7545433730697986,9.092596301812932,Computer Information Systems,0,1,0,0,1,P
15,Bronx,18.20869753959187,2.9498878460192812,-1.3515936147287348,Computer Information Systems,0,1,1,1,1,P
16,Brooklyn,22.564408117566465,2.9003390099309243,5.010953357656751,Computer Information Systems,1,0,1,1,0,P
17,Outside NYC,27.31878472580436,3.134011941761385,8.229188789215772,Computer Information Systems,0,1,0,1,1,P
18,Manhattan,22.648265196603848,3.972604777642852,7.124322993968766,Computer Information Systems,1,1,1,0,1,P
19,Manhattan,22.11202582626815,2.6302721025125844,5.780399315548269,Computer Science,1,1,1,1,0,P
20,Queens,25.41350274590319,3.2412490867713997,7.301838600066563,Computer Science,1,0,1,1,1,P
21,Queens,27.40189540271775,3.314860220229356,8.328186886024277,Computer Information Systems,0,1,1,1,0,P
22,Brooklyn,19.563973035710628,2.908429511453936,14.41132536540425,Computer Information Systems,1,0,1,0,0,P
23,Brooklyn,23.076717693847254,2.1699225340779167,6.164387276424805,Computer Information Systems,0,1,1,0,1,P
24,Brooklyn,24.427424470816877,2.718468739440646,11.395450254435968,Computer Information Systems,1,1,1,1,1,P
25,Bronx,24.297000043627108,2.987888698969914,2.7402145676881604,Computer Information Systems,1,1,0,0,0,P
26,Brooklyn,12.684806907850827,3.9341084589153783,0.4108530481776054,Computer Information Systems,1,0,1,1,0,P
27,Queens,23.315043031670573,1.7467274800294776,12.123917148426095,Computer Information Systems,1,1,1,1,0,P
28,Outside NYC,20.489160810096774,2.7626010043942033,-0.6723698725985328,Computer Information Systems,1,1,1,0,1,P
29,Bronx,26.7718548714841,3.9451220849465445,-2.629949948785381,Computer Information Systems,1,0,0,0,1,P
30,Outside NYC,26.029548413180592,2.190770055639639,12.412377628370008,Computer Science,1,1,1,1,1,P
31,Brooklyn,25.756152828972667,3.1615361996899836,7.165116389651353,Computer Science,0,1,1,0,0,P
32,Outside NYC,24.843064200543136,3.477314178545002,5.3135744019049564,Computer Information Systems,1,1,1,1,1,P
33,Manhattan,28.549519856703157,3.0615431475740067,8.289771179482976,Computer Information Systems,0,0,1,1,1,P
34,Outside NYC,26.00797181591531,2.695717262037364,3.519915934793267,Computer Information Systems,1,1,0,0,0,P
35,Outside NYC,28.178347040950726,3.3839964852054676,15.572136670097006,Computer Information Systems,1,1,1,1,1,P
36,Brooklyn,20.107779827700043,2.976190831771067,9.824993244108892,Computer Science,1,0,1,1,1,P
37,Brooklyn,21.436334859143127,2.1597715563172324,12.438570630545396,Computer Information Systems,0,1,1,0,1,P
38,Outside NYC,15.953350600476327,2.096948531190714,8.754641093398899,Computer Information Systems,0,1,0,1,1,P
39,Brooklyn,27.16404418517903,2.680877798038882,0.1277459075870908,Computer Information Systems,0,1,1,1,1,P
40,Outside NYC,26.139582113174992,3.3314178665729037,7.357320964739301,Computer Information Systems,1,1,0,1,0,P
41,Manhattan,23.597333321129785,3.5827445641901656,13.03498527930859,Computer Information Systems,1,1,1,1,1,P
42,Queens,23.694824431285006,3.471382478768449,8.057873218079315,Computer Science,1,1,1,0,0,P
43,Outside NYC,21.544530295378703,3.460443540012558,7.563616627924814,Computer Information Systems,1,0,1,1,0,P
44,Manhattan,28.93251026733416,2.927034182252933,4.79952844212319,Computer Information Systems,1,1,1,1,1,P
45,Queens,22.369049915225155,4.033682424516973,10.23996896068517,Computer Information Systems,1,1,1,0,1,P
46,Outside NYC,19.904613070026443,3.827241205038664,8.25733113490878,Computer Information Systems,1,1,1,0,1,P
47,Outside NYC,21.067573776085567,2.9039277835542427,1.9645022413191748,Computer Information Systems,0,1,1,0,1,P
48,Brooklyn,20.96150844887134,3.688496029220764,1.8216585776099548,Computer Information Systems,1,1,1,1,1,P
49,Brooklyn,17.520222115927893,2.9114215640184837,7.252314400550699,Computer Science,1,0,1,1,0,P
50,Outside NYC,19.89881242109062,3.866725866070667,8.179296225494625,Computer Information Systems,0,1,0,1,1,P
51,Brooklyn,21.355244395311793,2.7074760700572065,4.4799941543268105,Computer Information Systems,0,1,1,1,1,P
52,Outside NYC,18.60104743159403,3.1160690371768394,2.9870164779174972,Computer Information Systems,0,1,1,1,1,P
53,Brooklyn,19.01369631181494,1.5654590886949318,8.723790920384856,Computer Information Systems,1,1,1,1,0,P
54,Outside NYC,16.929718072225953,2.85094137986735,12.164058520900682,Computer Information Systems,1,0,1,1,0,P
55,Queens,19.056776610182848,3.7856752339531328,-4.936400558359905,Computer Information Systems,1,0,1,1,0,P
56,Outside NYC,21.810380899083754,2.6509217836590087,3.828552229676652,Computer Information Systems,1,1,0,1,0,P
57,Brooklyn,24.65551416461993,3.580627135111858,2.8211718453196895,Computer Information Systems,1,0,1,0,1,P
58,Outside NYC,25.741624060776306,2.659886613557,-2.535689344591816,Computer Information Systems,1,0,1,1,0,P
59,Brooklyn,28.94006123276364,2.80423101495323,2.5474671773682807,Computer Science,1,1,1,1,1,P
60,Brooklyn,24.131397642361062,4.13626353916848,6.633204014833082,Computer Science,1,0,1,1,1,P
61,Brooklyn,22.664742424464794,2.4225655208802146,7.724322802520664,Computer Information Systems,0,0,1,1,0,P
62,Outside NYC,21.489288732495567,2.6742191231024144,4.61115206019931,Computer Information Systems,1,0,0,0,0,P
63,Bronx,22.194047111578833,2.069560122526987,3.581713681533784,Computer Science,1,1,0,1,1,P
64,Outside NYC,21.105130709984493,2.3829056184229462,9.132938853087321,Computer Information Systems,0,1,0,0,0,P
