index,borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
8548,Queens,22.056320858798,3.148876720314121,2,Computer Information Systems,1,1,0,0,1,P
13142,Outside NYC,22.345859003100383,2.333427484315729,16,Computer Science,1,1,1,0,1,DWFI
5703,Outside NYC,25.16180965731613,3.201159596936679,16,Computer Information Systems,0,1,1,1,1,DWFI
13839,Bronx,18.302637955738007,2.715758748765968,2,Computer Information Systems,1,1,0,1,0,P
5384,Outside NYC,25.673518449343696,2.07992758307874,2,Computer Information Systems,1,0,1,0,1,P
6599,Bronx,19.286271761639384,3.283861323513796,11,Computer Information Systems,1,1,1,1,1,DWFI
336,Outside NYC,14.221395362894592,3.682413140583747,4,Computer Information Systems,1,1,1,1,1,P
6569,Outside NYC,28.170042135095088,3.209021911943302,12,Computer Information Systems,0,1,1,0,1,DWFI
15673,Brooklyn,20.22205967839459,2.8362835133437336,1,Computer Information Systems,0,0,0,1,1,P
13796,Outside NYC,19.801282873987745,3.4286677322301613,18,Computer Science,0,1,1,0,0,DWFI
3221,Queens,23.41460370652608,3.043619167093821,7,Computer Information Systems,0,0,0,1,0,P
7667,Manhattan,18.43822764141032,2.9239915724272207,1,Computer Information Systems,1,0,0,0,0,P
2147,Queens,29.616205663270865,2.728118246779914,5,Computer Science,1,0,1,0,0,P
13618,Brooklyn,25.027210710442045,2.29161435962509,15,Computer Information Systems,1,0,1,1,1,DWFI
9734,Queens,25.62827966999132,2.7854864712995986,3,Computer Information Systems,1,0,1,0,0,P
9142,Queens,20.67671335391202,2.945576045048415,1,Computer Information Systems,1,0,0,0,0,P
812,Outside NYC,19.36658887828122,2.754339388417264,0,Computer Information Systems,1,1,0,0,0,P
6153,Outside NYC,11.802335339516546,2.8348323129185284,6,Computer Information Systems,1,0,1,0,1,P
5209,Outside NYC,20.40282450029172,3.0695439032773457,15,Computer Information Systems,0,1,0,1,1,DWFI
12661,Queens,23.390434381286997,2.9594945048833217,17,Computer Information Systems,0,0,1,1,1,DWFI
12754,Manhattan,16.23397467001816,3.3712261787597337,14,Computer Information Systems,1,0,1,1,1,DWFI
15872,Bronx,22.50387768165354,3.458059075432462,2,Computer Information Systems,1,1,1,1,0,P
5292,Bronx,19.91807888710718,3.0771167291801085,22,Computer Information Systems,0,1,1,0,0,DWFI
10136,Brooklyn,22.327903706786685,3.560391892966464,1,Computer Information Systems,1,0,0,0,0,P
16153,Outside NYC,23.17705189266002,2.377840770514021,4,Computer Information Systems,1,1,1,0,0,P
5932,Brooklyn,22.843590801455523,4.043147216045389,2,Computer Information Systems,0,1,1,1,0,P
9865,Outside NYC,29.399807912017245,3.953450171273297,2,Computer Information Systems,1,0,1,0,0,P
7089,Staten Island,31.144910664727007,3.3270422956940187,0,Computer Information Systems,1,1,1,0,0,P
8608,Bronx,23.04993079714378,2.684922727889297,15,Computer Information Systems,1,1,1,1,0,DWFI
9256,Outside NYC,18.773781992221014,3.042995078713744,10,Computer Information Systems,1,1,1,1,1,DWFI
5768,Outside NYC,25.771604465112446,3.329508563945105,4,Computer Information Systems,1,0,1,1,0,P
2868,Outside NYC,29.334275362523268,3.0235880736868537,3,Computer Information Systems,0,0,0,0,1,P
7571,Outside NYC,23.19202061506284,3.686196314544208,5,Computer Information Systems,1,0,0,1,0,P
3655,Outside NYC,21.885563497872223,2.961680502236765,3,Computer Science,1,1,1,0,1,P
360,Outside NYC,27.159132652275268,2.9282897681597144,2,Computer Information Systems,1,0,1,0,0,P
14236,Manhattan,24.50553729314405,2.3497319117083646,18,Computer Science,1,1,1,0,1,DWFI
7520,Manhattan,19.93949524249461,2.447385161097159,5,Computer Information Systems,1,0,1,1,1,P
15386,Staten Island,26.21444062641685,4.25973571121668,3,Computer Science,1,0,1,1,0,P
9123,Outside NYC,25.419459618409867,3.392452060769417,3,Computer Science,1,0,1,1,1,P
6992,Outside NYC,22.082279523687347,3.282117996639752,13,Computer Information Systems,0,1,1,1,0,DWFI
5202,Staten Island,32.26464679274245,2.151032177848027,4,Computer Information Systems,1,0,1,0,0,P
16204,Outside NYC,25.412230023849155,2.2164374762513432,6,Computer Information Systems,1,1,0,0,0,P
8634,Manhattan,14.558497678110452,2.8371536947964517,11,Computer Information Systems,0,0,1,1,0,DWFI
183,Brooklyn,28.647000868688405,2.1133951620445743,1,Computer Information Systems,1,1,0,1,0,P
7973,Outside NYC,22.02185655872381,3.9664216032332913,4,Computer Science,0,1,1,1,1,P
16158,Manhattan,15.849148684907371,3.0973704710948367,5,Computer Information Systems,0,0,1,1,0,P
8290,Outside NYC,21.41324067523726,2.5192945939793887,4,Computer Science,1,1,1,1,1,DWFI
7101,Staten Island,22.444606090734997,2.8210810391471157,12,Computer Information Systems,1,1,1,1,1,DWFI
4903,Bronx,22.594274228268898,3.0609827894470545,6,Computer Information Systems,1,1,1,0,1,P
15284,Queens,22.73401016572448,3.039050995328264,15,Computer Information Systems,0,0,0,1,1,DWFI
8755,Manhattan,21.98034038058714,2.9397379567579702,2,Computer Information Systems,1,0,1,1,0,P
9950,Outside NYC,21.488853434713494,3.083037961116131,3,Computer Information Systems,1,0,0,0,1,P
8143,Outside NYC,22.01437919701423,3.1595218345058487,1,Computer Information Systems,1,1,1,0,0,P
2317,Brooklyn,23.77590033065981,3.0352188712847115,1,Computer Information Systems,0,1,1,0,0,P
5807,Bronx,22.95222180106497,2.378228390242124,12,Computer Science,0,0,1,1,0,DWFI
1315,Outside NYC,23.16842773390164,3.030763117377068,3,Computer Information Systems,0,1,1,1,0,P
57,Manhattan,18.11331768216111,3.60687250764544,3,Computer Science,1,0,1,1,0,P
980,Outside NYC,16.59258371171631,1.618341493206363,5,Computer Science,1,0,1,0,0,P
15924,Outside NYC,24.367409502603238,2.942127138479009,1,Computer Information Systems,0,0,1,1,0,P
8956,Outside NYC,26.80665944015204,3.363139560203861,6,Computer Information Systems,1,0,1,0,0,P
9121,Outside NYC,21.18907074573576,2.781316835070623,3,Computer Information Systems,1,1,0,0,0,P
15412,Queens,24.108591858875897,3.0837411731855795,1,Computer Information Systems,1,0,1,1,0,P
16087,Outside NYC,26.284683325236728,3.3635304125315204,3,Computer Information Systems,0,1,0,0,0,P
1818,Outside NYC,29.906059619013902,3.14990255625948,2,Computer Information Systems,0,1,0,0,0,P
9595,Staten Island,15.831261062454772,2.628517260957868,15,Computer Information Systems,0,1,1,1,0,DWFI
3170,Outside NYC,20.59297538080426,3.263605788370634,4,Computer Science,1,0,0,1,1,P
16426,Outside NYC,18.114203492169143,2.658248874028239,14,Computer Science,1,0,1,1,1,DWFI
4954,Queens,23.25860862645049,3.790819304099928,3,Computer Science,1,1,0,0,0,P
5920,Outside NYC,31.34694999378074,2.7345077301366407,6,Computer Science,1,1,0,0,1,DWFI
9185,Bronx,24.746792872291387,2.5629001735219927,22,Computer Information Systems,1,0,0,0,1,DWFI
9081,Outside NYC,23.06950583527591,2.9834682309941405,11,Computer Information Systems,0,1,0,1,1,DWFI
15800,Outside NYC,21.58465379868517,3.4006962264371268,12,Computer Science,1,0,1,1,1,DWFI
6215,Outside NYC,15.162960206266613,3.067750256042594,11,Computer Information Systems,0,1,1,1,0,DWFI
12763,Outside NYC,26.540097747246016,3.68495514912404,2,Computer Science,1,0,1,0,0,P
15432,Bronx,19.705913260931577,3.034640839987797,4,Computer Information Systems,1,1,0,1,0,P
7662,Outside NYC,21.606772666005785,2.848771856827926,9,Computer Science,0,1,1,1,1,DWFI
10687,Brooklyn,23.545571465100835,3.339199203685405,8,Computer Information Systems,1,1,1,1,1,DWFI
11894,Brooklyn,24.674331959432333,2.987658000014764,8,Computer Science,1,1,0,1,0,DWFI
11495,Outside NYC,16.29023629810943,3.142473237713542,10,Computer Science,1,0,0,1,0,DWFI
12400,Manhattan,21.58860441795699,3.2903111884294862,2,Computer Science,0,0,0,1,1,P
10264,Bronx,33.457277072956465,3.801037770230327,2,Computer Information Systems,0,0,1,1,1,P
3002,Outside NYC,25.920228997798112,3.3134798086044204,4,Computer Information Systems,0,1,0,1,0,P
5150,Queens,33.13322427231347,3.260733208982685,2,Computer Information Systems,1,0,1,0,0,P
10923,Outside NYC,34.375359079960326,2.9122230084100007,11,Computer Information Systems,1,1,1,1,1,DWFI
8035,Outside NYC,19.55800424108619,3.687756654690588,14,Computer Information Systems,1,1,1,1,1,DWFI
11421,Outside NYC,24.21821632329689,3.0087447528871647,7,Computer Information Systems,0,0,0,1,1,DWFI
2458,Outside NYC,21.95485110608086,3.4219742200653496,3,Computer Information Systems,1,0,1,1,1,P
14585,Queens,23.947342211168053,3.111856920175024,1,Computer Information Systems,1,1,1,0,1,P
1252,Outside NYC,23.51349916352125,3.5250667568499847,5,Computer Science,1,1,0,1,0,P
10400,Brooklyn,32.44251002821321,3.6958769985917272,2,Computer Science,1,1,1,1,1,P
9356,Brooklyn,22.247286291179293,3.468570562547065,3,Computer Science,1,1,1,0,1,P
13838,Brooklyn,19.49683190820133,2.722736154362,1,Computer Science,1,1,1,0,0,P
1275,Manhattan,28.525832131509237,3.4435516610266634,6,Computer Science,1,0,1,0,0,P
5373,Brooklyn,30.998699377799998,3.0301623114841894,0,Computer Information Systems,1,1,1,1,0,P
5539,Outside NYC,22.865925875235632,2.4423224273041217,17,Computer Science,1,0,1,1,1,DWFI
8118,Outside NYC,23.74510436812142,2.783215691315534,2,Computer Information Systems,1,0,0,0,1,P
11265,Queens,22.125879467794203,2.8889018401917945,5,Computer Information Systems,1,0,1,0,0,P
1960,Brooklyn,25.6573295492614,3.0226154377014924,6,Computer Information Systems,0,1,0,0,1,P
14331,Staten Island,26.093090198195128,3.0245020067265385,17,Computer Information Systems,1,1,1,1,1,DWFI
13860,Outside NYC,23.33145515168197,3.3976532911451107,23,Computer Information Systems,0,1,1,1,1,DWFI
1978,Outside NYC,30.955734847577244,2.6130949381741155,6,Computer Information Systems,1,1,0,1,0,P
15474,Outside NYC,16.451368726115714,2.704127354426577,15,Computer Science,1,1,1,1,1,DWFI
15756,Manhattan,14.098342218162603,2.569735691427851,26,Computer Science,0,1,1,1,1,DWFI
16157,Brooklyn,22.54445981783476,2.6919934391143903,15,Computer Information Systems,1,1,0,1,0,DWFI
16172,Bronx,28.11849101634786,3.049477344325413,0,Computer Science,1,1,0,0,0,P
344,Outside NYC,23.537986539745628,3.2650957983998223,1,Computer Information Systems,1,0,1,1,0,P
3252,Outside NYC,31.12219500635784,4.057774913674662,2,Computer Information Systems,1,0,0,0,0,P
2489,Brooklyn,33.62294053118379,4.410537186732389,2,Computer Information Systems,0,1,1,1,1,P
16401,Bronx,15.737623697138863,3.4673771389662,17,Computer Science,1,1,1,1,1,DWFI
5279,Outside NYC,14.338033060438809,3.015651076984931,16,Computer Information Systems,0,1,0,1,1,DWFI
8740,Manhattan,22.89000483270012,3.0863563472641213,3,Computer Science,0,1,0,0,1,P
376,Brooklyn,20.62207189273933,2.34139553248672,2,Computer Science,1,1,1,0,1,P
4638,Outside NYC,23.357650565580727,2.6706964955962817,8,Computer Information Systems,0,1,1,1,0,DWFI
14517,Queens,20.77855632480861,2.9066091640829583,15,Computer Science,1,0,1,1,1,DWFI
867,Bronx,17.072621351939517,3.492998771297432,4,Computer Information Systems,1,1,1,1,1,P
11081,Outside NYC,29.684121839476685,3.170053090778937,16,Computer Science,0,1,0,1,1,DWFI
12198,Bronx,24.66796734137149,1.6253014287509766,15,Computer Information Systems,0,1,1,1,1,DWFI
8001,Bronx,22.490913612425672,1.8092198603734968,18,Computer Information Systems,1,1,1,1,1,DWFI
1632,Queens,17.990382375327542,3.497796644165352,3,Computer Information Systems,1,0,0,1,0,P
7009,Outside NYC,19.784818057211773,2.282965397995936,3,Computer Information Systems,1,0,0,0,0,P
7543,Outside NYC,25.0416221807316,4.04946567156173,13,Computer Science,1,1,1,1,0,DWFI
10935,Outside NYC,21.603861834358494,3.268016250070908,11,Computer Information Systems,0,0,1,1,0,DWFI
1079,Manhattan,28.580522851188917,4.486639617842818,2,Computer Information Systems,0,0,1,0,0,P
15473,Outside NYC,31.2178282225371,2.9478991547688924,4,Computer Science,1,1,1,0,1,P
16084,Staten Island,20.251166154921947,2.722335388325525,11,Computer Science,0,1,1,1,1,DWFI
13004,Brooklyn,21.983204758040603,3.2789736521960084,6,Computer Information Systems,1,0,1,0,1,P
12172,Outside NYC,23.981298384797967,3.2851777480759607,6,Computer Information Systems,1,0,1,1,1,P
5738,Manhattan,26.869067232821827,3.1722007725233223,14,Computer Science,1,1,0,0,0,DWFI
7053,Outside NYC,31.05400243699858,4.119178786115832,13,Computer Science,0,1,1,1,0,DWFI
7734,Outside NYC,26.45149564043557,3.5267185311643403,2,Computer Information Systems,1,0,0,0,0,P
15708,Brooklyn,27.926122378859816,2.6596517544496696,5,Computer Science,0,1,1,1,1,P
4428,Staten Island,18.59625581697945,2.337693158733245,12,Computer Science,0,1,1,1,1,DWFI
9670,Brooklyn,18.10150226070507,2.767867663706741,19,Computer Science,0,1,0,1,1,DWFI
5251,Bronx,19.786970685408896,3.1950024424441112,9,Computer Information Systems,0,1,0,1,1,DWFI
14100,Manhattan,24.16677442941448,3.404379545373389,10,Computer Science,1,1,0,1,0,DWFI
7023,Brooklyn,28.9635642244211,3.271817865012188,3,Computer Information Systems,1,1,1,0,0,P
8483,Outside NYC,21.609544001016737,3.655784417806337,3,Computer Information Systems,1,1,1,0,0,P
15825,Manhattan,20.545179560919287,2.2593229561990382,15,Computer Information Systems,0,1,1,0,1,DWFI
15111,Queens,26.39599584795389,3.234473100838022,16,Computer Information Systems,0,1,1,1,1,DWFI
125,Brooklyn,17.042869884584047,2.6096645665852947,4,Computer Information Systems,1,1,1,1,0,P
12386,Manhattan,22.21303190063704,2.8830984193172062,10,Computer Information Systems,1,1,1,1,0,DWFI
1146,Bronx,30.01032057526058,2.581539719517975,3,Computer Information Systems,1,1,1,0,0,P
4040,Manhattan,24.544729212891177,2.831767891842228,2,Computer Information Systems,1,0,0,0,1,P
16858,Manhattan,25.33919058890484,2.766960117855869,17,Computer Science,1,1,1,1,1,DWFI
12898,Manhattan,23.761020488065576,2.8621962555478717,5,Computer Science,1,0,1,0,0,P
10034,Outside NYC,27.08839630521395,2.978711717096349,3,Computer Information Systems,0,0,0,0,1,P
10710,Queens,30.88500050558469,3.094015967530907,1,Computer Information Systems,1,1,1,0,0,P
5326,Queens,22.71086248755146,3.2734968422016686,5,Computer Information Systems,1,1,1,1,0,P
7280,Manhattan,23.36742012876426,3.197887754829836,11,Computer Information Systems,0,1,1,0,1,DWFI
11268,Manhattan,24.73709184910758,2.8386901832734925,3,Computer Science,0,1,0,1,1,P
6715,Outside NYC,21.392974592438364,3.101713666069908,0,Computer Science,0,1,1,1,0,P
3821,Bronx,21.830535396067365,2.361106371103004,4,Computer Information Systems,1,0,1,1,1,P
114,Queens,25.991757155654412,3.404009934067004,4,Computer Science,1,1,1,1,1,P
2655,Bronx,24.78540552221892,3.529734054288483,2,Computer Information Systems,1,1,0,0,1,P
4990,Outside NYC,24.915908080623268,2.507407496608937,10,Computer Information Systems,0,1,1,1,1,DWFI
8996,Manhattan,30.69664589335349,2.957235721401992,16,Computer Science,0,1,1,1,1,DWFI
7568,Manhattan,14.364386066016465,3.2325734516267954,1,Computer Information Systems,1,0,1,0,0,P
3131,Brooklyn,29.43511007991319,3.711816894260392,2,Computer Science,1,0,1,0,0,P
699,Outside NYC,20.924309713303558,2.501170035756588,3,Computer Information Systems,1,0,0,0,1,P
1946,Bronx,28.860282074776872,2.3275582529961,3,Computer Science,1,0,0,1,0,P
14786,Brooklyn,22.59735834790148,2.518787128899476,5,Computer Science,0,0,0,1,1,P
2567,Queens,28.1104417454755,3.593493418002218,2,Computer Information Systems,1,0,0,1,0,P
1474,Bronx,25.487310886167386,3.2567797639804934,6,Computer Information Systems,1,1,1,0,1,P
12225,Outside NYC,29.42402310475008,2.3460026057759507,16,Computer Science,0,0,0,1,1,DWFI
13030,Outside NYC,26.04077697542165,4.556736580122258,0,Computer Science,1,0,0,1,1,P
5466,Brooklyn,23.291063305634665,2.800124947180438,18,Computer Information Systems,0,0,1,1,1,DWFI
609,Outside NYC,22.527061465168977,2.9071125358121703,2,Computer Information Systems,0,1,0,0,1,P
16969,Manhattan,23.98085068888452,3.524367918721829,14,Computer Information Systems,1,1,0,0,0,DWFI
6330,Bronx,18.166459943282888,3.64073301041077,3,Computer Science,1,1,1,0,0,P
13439,Outside NYC,22.62470367703582,2.590540143432306,1,Computer Information Systems,1,1,1,0,0,P
3564,Queens,32.6992832298551,3.184245727783611,4,Computer Information Systems,1,0,1,1,0,P
16474,Outside NYC,23.68828603333124,3.410156529079809,13,Computer Information Systems,0,0,1,1,0,DWFI
3138,Outside NYC,20.39071160408857,3.1339631377324384,2,Computer Information Systems,1,1,0,0,1,P
11012,Brooklyn,29.43072478565354,3.289919684999884,4,Computer Information Systems,1,1,0,0,0,P
8686,Outside NYC,23.372487816853614,1.9399958735568308,10,Computer Science,1,1,0,1,0,DWFI
11992,Bronx,25.78749671806605,3.102302066696186,1,Computer Information Systems,0,0,0,0,0,P
14771,Manhattan,31.37826811116512,2.930714876664415,4,Computer Information Systems,1,0,1,0,0,P
9406,Bronx,21.43925596404029,3.8681332554583534,15,Computer Information Systems,0,1,1,1,0,DWFI
4958,Manhattan,25.171708349093013,2.2385896536406973,14,Computer Science,0,0,0,1,0,DWFI
8836,Manhattan,22.9612345321172,2.3747497988877164,4,Computer Information Systems,1,1,1,1,1,P
14801,Brooklyn,24.753917263884905,2.301325076194473,11,Computer Science,1,0,1,1,1,DWFI
2737,Outside NYC,30.107044132238023,3.3512597736791787,9,Computer Information Systems,1,1,0,1,1,P
7279,Outside NYC,18.985974087649307,3.352113020033138,9,Computer Information Systems,1,0,1,1,1,DWFI
8789,Outside NYC,24.64079295165771,3.5568584027889023,2,Computer Science,0,1,1,1,0,P
