borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
Manhattan,27.479904179461144,3.0801377333394435,15.066798142188505,Computer Information Systems,1,0,1,1,0,P
Outside NYC,27.493010540768672,2.6657177378546026,8.85892652457932,Computer Information Systems,1,1,0,1,0,P
Outside NYC,26.448574678375703,1.3886473850183476,5.845803797581117,Computer Information Systems,1,1,1,1,1,P
Brooklyn,28.072601175904076,3.540563187029329,5.75991588721876,Computer Information Systems,0,1,1,1,1,P
Brooklyn,20.06011553041613,2.9111684297433778,9.473037165938477,Computer Information Systems,1,0,0,0,0,P
Outside NYC,17.98612540526755,2.6778893572403724,6.000349438443867,Computer Information Systems,0,1,1,1,0,P
Outside NYC,20.99901495409559,3.1349554324660454,-0.04246549856199344,Computer Science,1,1,1,1,1,P
Outside NYC,25.138586722761406,2.810614516924245,3.1482956439794574,Computer Science,0,1,1,1,0,P
Staten Island,18.035778956167764,3.0065624727488154,6.740661252660905,Computer Information Systems,1,1,1,1,0,P
Outside NYC,29.417587705297066,3.1881211253186117,7.591775711351306,Computer Information Systems,0,1,1,1,1,P
Brooklyn,27.9919624660013,2.2298369752357154,3.044922491910731,Computer Information Systems,1,1,0,1,1,P
Outside NYC,27.70157205700024,3.417865347485085,5.392586797514467,Computer Science,1,0,0,1,0,P
Brooklyn,22.981724110187294,3.4131405305707623,2.5911905613343484,Computer Information Systems,1,1,0,0,1,P
Bronx,22.039860328608036,3.871358864902391,-1.4886939862947228,Computer Information Systems,1,0,1,0,1,P
Manhattan,10.68649713388085,3.3349153449341533,6.607256034353605,Computer Science,0,0,1,0,1,P
Outside NYC,27.4665638131005,2.401796835283441,0.3744030785316994,Computer Information Systems,1,0,0,1,1,P
Manhattan,30.16796839623335,3.5138996497798827,3.72607005862636,Computer Information Systems,1,0,1,0,0,P
Outside NYC,19.145359830721425,3.10410236569033,4.959620400560299,Computer Science,1,0,1,1,1,P
Queens,19.325377254614796,2.4558709566793464,10.90624289148274,Computer Information Systems,1,1,0,1,0,P
Bronx,28.4934650190909,2.666504544391268,8.841123064015326,Computer Information Systems,1,0,1,1,1,P
Queens,21.277238564445604,3.6939607023687406,4.323975696304702,Computer Information Systems,1,1,1,1,1,P
Outside NYC,23.53055743062153,4.042794965384217,9.176650457039393,Computer Science,1,1,0,1,1,P
Brooklyn,22.882482879559113,2.816937113343706,9.95573407518144,Computer Science,1,1,0,1,0,P
Bronx,25.663740439061375,3.036673249511134,7.366191669284476,Computer Information Systems,1,0,0,1,1,P
Outside NYC,26.83641160353093,2.698567582435595,8.846280714190936,Computer Information Systems,1,1,1,1,0,P
Brooklyn,18.191705054619103,3.5833433975039233,11.545043106384398,Computer Information Systems,0,1,1,1,1,P
Outside NYC,29.52288579190118,2.471527338746273,6.5145262284409675,Computer Information Systems,0,0,0,1,0,P
Manhattan,25.762163699309507,3.024526698637932,4.229412643692712,Computer Information Systems,1,0,0,1,1,P
Outside NYC,19.860776763795624,3.174171061015381,11.99313057034396,Computer Information Systems,1,1,1,1,0,P
Brooklyn,21.433887722352143,2.9635526371932177,11.443589035219588,Computer Information Systems,0,1,0,0,1,P
Brooklyn,21.446530318958537,3.045905441794457,6.517632479962094,Computer Information Systems,1,1,1,1,1,P
Outside NYC,19.262693388229728,2.9568665635035334,6.751322938431026,Computer Information Systems,0,1,1,0,0,P
Bronx,27.23786516479035,1.9620635987223116,8.007677617835794,Computer Information Systems,1,1,0,0,0,P
Queens,21.843947429280977,2.633494731501487,14.823394520884198,Computer Information Systems,1,1,0,1,0,P
Outside NYC,27.789739980562,3.07873370666556,2.5924008610083282,Computer Information Systems,1,1,0,0,0,P
Outside NYC,24.558606800646448,1.9021285406337478,7.42221053997636,Computer Science,1,1,0,1,0,P
Brooklyn,24.609454603109896,3.6871910817373004,6.760945382401463,Computer Science,0,1,1,1,1,P
Bronx,17.74533916131035,2.960507042593322,11.313450718938501,Computer Information Systems,0,1,0,1,0,P
Outside NYC,21.92010985422495,1.9915244337179792,7.182277735592733,Computer Information Systems,0,0,1,1,0,P
Brooklyn,21.629269058557814,3.019667934850353,0.4838546917892854,Computer Information Systems,0,1,1,1,1,P
Outside NYC,23.052766062385313,3.449131442420093,7.468526128511297,Computer Information Systems,1,1,1,1,1,P
Outside NYC,18.36691403975896,3.343743049026354,13.646349150187012,Computer Information Systems,0,1,1,1,1,P
Outside NYC,18.70611939905561,3.388132800241331,-0.0826916187868596,Computer Information Systems,0,1,1,1,1,P
Outside NYC,18.30280295548825,2.944377772076892,5.76196168882158,Computer Information Systems,0,1,1,1,1,P
Queens,18.448738818676773,2.4577678951140296,2.9879113094463587,Computer Information Systems,1,1,1,1,0,P
Outside NYC,23.63434852348174,2.8409699632775367,4.606218348003344,Computer Information Systems,0,1,1,1,1,P
Brooklyn,22.460839913060266,2.824147290058913,4.230758037879716,Computer Information Systems,0,1,1,0,1,P
Queens,32.886457393857754,3.3242229628573194,3.94175756154568,Computer Information Systems,1,0,1,1,1,P
Bronx,23.872055801122677,2.9599924286577206,2.7648864901820693,Computer Science,1,1,1,0,1,P
Bronx,25.340090073998784,3.844845885323177,7.719534556483827,Computer Information Systems,0,1,0,1,0,P
Brooklyn,24.877586587379156,3.0849466051048733,5.845691616106676,Computer Information Systems,0,0,1,1,0,P
Outside NYC,18.070298436540064,2.7182284645926513,1.0895170103511518,Computer Information Systems,0,1,1,1,1,P
Outside NYC,25.207845096882227,2.8397063306748707,0.14098795483512028,Computer Information Systems,1,0,0,0,1,P
Manhattan,20.777307761386766,3.5389411228799887,11.55010312677713,Computer Information Systems,0,1,0,1,1,P
Outside NYC,23.75649519768334,2.4201077247431977,7.769113404051599,Computer Information Systems,1,0,1,1,0,P
Outside NYC,27.691824719175145,2.8879148277613313,0.585706211612667,Computer Information Systems,0,1,1,0,0,P
Bronx,23.46119309766866,2.501471952719723,4.755543840360291,Computer Information Systems,1,1,1,0,1,P
Manhattan,18.88747740366239,2.9828818478197645,5.974130745598073,Computer Information Systems,0,1,1,1,1,P
Manhattan,25.335840493061614,3.1300617878731885,10.160729103594523,Computer Information Systems,0,0,1,0,0,P
Bronx,22.928117236028886,3.3749529719101874,6.050938697734301,Computer Information Systems,0,1,1,1,1,P
Outside NYC,18.361322608684233,2.490919525274801,4.214138970969291,Computer Information Systems,1,0,1,1,0,P
Bronx,25.37886119269445,2.4138423734977144,6.81722992292588,Computer Science,1,0,0,1,0,P
Staten Island,21.052089476539084,2.592125034895212,7.014244503989563,Computer Information Systems,1,1,1,1,1,P
Outside NYC,26.530811166035097,2.8585805627385845,7.7248467548407245,Computer Science,1,1,0,1,1,P
Outside NYC,13.960202572898353,3.506841893277083,11.700480818905714,Computer Science,0,1,1,1,0,P
Outside NYC,23.397027227920628,2.613392594797578,-4.987853901108792,Computer Information Systems,0,1,0,0,0,P
Bronx,26.37724862044986,3.7294085042058898,5.901271257533311,Computer Science,0,0,1,1,0,P
Brooklyn,23.091740419842733,3.9965744082847983,4.0484935683016525,Computer Science,1,1,0,1,0,P
Manhattan,33.544180654871674,3.5719983773037387,7.0239129178537105,Computer Information Systems,0,1,1,0,1,P
Outside NYC,24.987420112784555,3.490128245355645,-0.20850424507274834,Computer Information Systems,1,1,0,0,0,P
Manhattan,20.61978503362911,2.6690675232576817,6.972134672496393,Computer Information Systems,0,1,1,1,1,P
Manhattan,26.947511620063292,1.8908457505182066,2.933437194129542,Computer Science,1,1,0,1,1,P
Brooklyn,21.61616358098832,2.9893412472050573,7.263851760724894,Computer Information Systems,1,1,0,1,1,P
Manhattan,17.248271724802866,2.952716133773527,10.027391795574687,Computer Information Systems,1,1,0,0,0,P
Outside NYC,23.887530737371968,2.8637457168019034,-0.34024049279855095,Computer Information Systems,1,1,0,0,0,P
Queens,18.735000931115813,2.8951118607779702,0.13147649170384135,Computer Information Systems,1,1,0,1,0,P
Manhattan,23.713938718848876,2.074449966312331,7.367980277771161,Computer Science,1,1,1,1,0,P
Bronx,27.892180613136247,2.8502018455113816,6.8619020157503305,Computer Information Systems,0,0,1,1,1,P
Outside NYC,17.155818274506235,2.279081212748842,17.651874261816545,Computer Science,1,0,1,1,1,P
Manhattan,22.198737248575927,3.2731495251901483,10.448492808913404,Computer Information Systems,0,1,1,0,0,P
Outside NYC,15.024371486701884,2.192536174448345,7.553839815429712,Computer Science,1,0,0,1,0,P
Brooklyn,26.03419634000443,3.12653150300953,-0.6245971459414621,Computer Information Systems,1,1,0,1,0,P
Bronx,19.125594030953746,3.0726487122536112,3.59223311907384,Computer Information Systems,0,1,0,1,0,P
Queens,23.189686578901522,1.826621860660504,1.5133441873731917,Computer Science,1,1,1,0,1,P
Outside NYC,25.23140590813126,2.4584691485915435,4.419285708596264,Computer Information Systems,1,1,1,1,0,P
Outside NYC,19.49967816532096,2.487399366073316,12.77130378462396,Computer Science,1,1,0,0,0,P
Brooklyn,27.062716875887933,3.235004712949352,6.682497848456131,Computer Science,1,0,0,1,0,P
Manhattan,26.48863914985733,1.7731873867499293,4.522746834073594,Computer Information Systems,1,1,1,1,1,P
Queens,23.21045937262509,2.8557446540082156,11.18665309434256,Computer Science,1,1,1,1,1,P
Outside NYC,17.903848687315136,3.140955643097018,4.437361553636912,Computer Information Systems,1,1,1,1,1,P
Queens,22.626770287309547,3.341032209420697,8.84297687551931,Computer Information Systems,1,0,1,1,1,P
Bronx,15.864299258726465,2.831059358254907,5.9808085718600195,Computer Science,1,1,0,0,1,P
Bronx,18.520952481711348,2.9011280923779905,5.250826847165008,Computer Information Systems,0,1,0,1,1,P
Brooklyn,24.963009162110346,2.7347454040756567,6.092305808576008,Computer Information Systems,0,0,1,0,0,P
Brooklyn,23.166401905544138,3.0307172577097563,7.327433842585663,Computer Science,1,1,1,1,1,P
Brooklyn,21.48509004150949,3.7521724797058873,3.1635313068085553,Computer Information Systems,1,1,1,1,1,P
Manhattan,26.542942048178247,3.4028543599321734,4.945988658578657,Computer Information Systems,0,1,0,0,0,P
Outside NYC,20.45835506733895,2.861963745513787,8.313769192340088,Computer Science,1,1,1,1,1,P
Brooklyn,17.35731100566509,3.648775826619505,17.920502246152694,Computer Information Systems,0,1,1,1,0,P
Brooklyn,18.042989704795588,2.933424293297042,6.878781143787057,Computer Information Systems,0,1,0,1,1,P
Queens,21.522830375557692,2.6134988969430046,5.031667843949666,Computer Information Systems,1,1,1,1,0,P
Brooklyn,24.311218050804026,2.6955207415630853,1.9347043369482462,Computer Information Systems,1,1,0,1,0,P
Outside NYC,20.343817419495323,3.101678372315081,4.559767064810638,Computer Information Systems,0,0,1,1,0,P
Brooklyn,31.10655044203441,2.795897863185123,0.53855805094536,Computer Information Systems,1,1,1,1,0,P
Queens,26.58329140766852,2.9656224749101976,13.06338045104879,Computer Science,1,0,1,1,1,P
Brooklyn,19.006470476691113,2.9164682423941413,1.8566879568482122,Computer Information Systems,1,1,1,1,0,P
Staten Island,25.39968909357176,2.898282750674345,5.413125499810258,Computer Information Systems,1,1,0,1,0,P
Manhattan,20.7605302333898,2.148601884209408,9.417474524415237,Computer Information Systems,1,1,0,0,0,P
Brooklyn,21.095194725761306,2.756226862440089,4.054663760876946,Computer Science,0,1,1,1,0,P
Outside NYC,23.510873682367986,3.4620595624465516,-0.13095119594964455,Computer Information Systems,1,1,1,1,1,P
Outside NYC,14.408595485117015,1.9075680541901412,12.788372374542629,Computer Information Systems,0,0,0,1,1,P
Outside NYC,28.44921259404195,2.7073351472026763,3.127631553423197,Computer Science,0,0,1,1,1,P
Bronx,20.37216707454087,3.609933107035279,6.341657705620415,Computer Information Systems,1,0,1,1,0,P
Outside NYC,26.887931190156866,2.6172444782918345,2.490406011780872,Computer Information Systems,0,0,1,1,1,P
Outside NYC,23.301212494461915,3.243276547305824,12.101834071463504,Computer Information Systems,1,1,0,1,1,P
Outside NYC,26.000279983899738,2.9801631344011663,5.0623994470847,Computer Science,1,1,0,1,1,P
Brooklyn,25.849911377627055,2.89585218866653,-1.2076713644281307,Computer Science,1,1,1,1,0,P
Outside NYC,24.611917294072413,3.151144137242769,1.0208424069315347,Computer Science,1,1,1,1,1,P
Manhattan,19.315162810344724,3.3751221927768045,1.870677891866702,Computer Information Systems,1,1,1,1,1,P
Brooklyn,30.97969478843985,2.3405287615838812,5.515781621789604,Computer Information Systems,1,1,1,1,1,P
Queens,27.005980017291332,3.29394453054085,6.888477556912875,Computer Science,0,0,0,0,1,P
Bronx,25.289634158887246,3.3045808810708053,9.670212898714626,Computer Science,1,1,1,1,0,P
Queens,15.465313132820128,2.71016917185622,5.811359061924846,Computer Information Systems,0,0,1,1,1,P
Brooklyn,26.889215728072283,2.5241941846721625,1.975631399702194,Computer Information Systems,0,0,1,1,0,P
Outside NYC,28.29668703429728,2.817293772813261,10.91744707215193,Computer Science,1,0,0,1,0,P
Outside NYC,19.804207635037102,2.3545563093769086,8.535030813780995,Computer Information Systems,1,1,1,0,0,P
Queens,24.087960187628404,3.2336796084307284,4.973853918427906,Computer Information Systems,1,0,1,1,1,P
Outside NYC,16.93796242258298,3.590316079355227,6.668773439453757,Computer Science,1,1,1,0,0,P
Queens,25.693672841672203,3.191832138739001,0.36878479014888654,Computer Information Systems,1,0,0,1,0,P
Brooklyn,22.95376113710115,3.386097726680588,4.970701129564296,Computer Information Systems,1,1,1,1,0,P
Outside NYC,22.441484713511016,2.6416167808392825,10.262567739439195,Computer Information Systems,1,1,0,1,0,P
Queens,27.34929049787593,2.868621408058818,-1.2983616613254485,Computer Information Systems,0,1,0,1,0,P
Bronx,25.553172219574282,2.2545608113269946,6.278023936014563,Computer Science,1,0,0,1,1,P
Bronx,17.3299821998159,3.493437438354317,9.384676573173099,Computer Science,1,1,1,0,1,P
Brooklyn,23.402883649447215,3.0095227626556613,1.4575632374265064,Computer Information Systems,1,1,0,1,1,P
Outside NYC,19.111556122330697,3.7611866781298886,3.29313211884354,Computer Information Systems,1,1,1,1,1,P
Outside NYC,25.624432651903035,2.7752713652110517,8.375008390851972,Computer Information Systems,0,1,0,1,1,P
Brooklyn,21.95290876407516,2.9163950460144235,7.400032576744742,Computer Information Systems,1,1,0,0,0,P
Brooklyn,28.759784512879122,3.027818968807701,6.956690733402525,Computer Information Systems,1,0,0,1,1,P
Outside NYC,25.10271597475003,3.0427905120928576,6.259159780390387,Computer Information Systems,0,1,1,1,0,P
Bronx,22.55894840249426,3.287241465992387,3.499204690165449,Computer Science,0,1,0,1,0,P
Brooklyn,26.633910481065477,3.522791660774815,9.371481387078678,Computer Information Systems,0,1,0,1,1,P
Manhattan,26.096214913712174,2.2492453902100173,5.665700524056852,Computer Information Systems,0,1,1,1,1,P
Brooklyn,18.02811409159734,2.888503779569829,6.338568283958644,Computer Information Systems,1,1,1,0,0,P
Manhattan,16.836707813499622,3.342261725792328,7.750629563057902,Computer Information Systems,1,1,1,1,1,P
Outside NYC,24.048653845585488,2.801615544210635,3.614436238467852,Computer Science,0,1,1,1,0,P
Brooklyn,22.335748303072766,3.9068627395609448,11.955825066699763,Computer Science,0,1,1,1,0,P
Outside NYC,27.98245912539924,4.177697515484864,-0.6635811366665232,Computer Information Systems,1,1,1,1,1,P
Outside NYC,25.655410656300184,2.5669775636573036,10.534163332328195,Computer Science,0,1,1,1,1,P
Bronx,29.971666492878676,3.3835502634534875,3.939416747725378,Computer Information Systems,1,0,1,1,0,P
Queens,22.01301534506658,2.6141110166937853,11.90518144737155,Computer Information Systems,1,1,1,1,1,P
Bronx,18.34973060573452,2.33223357636617,6.477962060461252,Computer Information Systems,1,1,0,1,0,P
Outside NYC,28.927399270362134,2.998900198618473,11.369341252544057,Computer Information Systems,1,1,1,1,1,P
Queens,22.09773285696649,3.4374587021896135,8.788484557832252,Computer Science,1,1,1,1,1,P
Brooklyn,17.52054742066896,2.836705677008878,-0.4699221247135714,Computer Science,1,1,0,1,1,P
Outside NYC,21.99170414823638,3.2035448226257524,9.927187177091174,Computer Information Systems,0,1,1,1,1,P
Queens,20.077891151529865,3.2471388826835863,1.5373474959309856,Computer Information Systems,1,1,0,1,1,P
Outside NYC,21.532535650938968,3.1498921043072547,4.796834350981882,Computer Science,0,1,1,1,1,P
Manhattan,21.652065484493864,2.351131067341635,8.780864958208456,Computer Science,1,0,1,0,0,P
Outside NYC,21.421760603279857,2.5272950141627426,2.4695135719879264,Computer Science,0,1,0,0,1,P
Bronx,26.84057255375404,2.489835765434866,3.696268826578073,Computer Science,1,1,0,1,1,P
Outside NYC,27.313620360597447,3.335515909988823,7.047116410112716,Computer Information Systems,1,0,1,1,0,P
Bronx,24.550114826131026,3.3934576909311294,6.056135079724628,Computer Science,1,0,0,1,1,P
Outside NYC,20.123344980244546,2.8613063177244715,5.849685142843369,Computer Information Systems,1,1,1,1,0,P
Queens,21.40829771998329,3.0257584656250756,2.1898246969766353,Computer Information Systems,1,1,1,1,0,P
Manhattan,24.5479586266966,3.149498519039248,15.111971758391228,Computer Information Systems,1,1,1,1,1,P
Outside NYC,19.337230277667317,2.662618701267141,4.860259142763546,Computer Information Systems,1,0,0,0,0,P
Bronx,25.271539511805432,3.0247941435174943,4.101969705521155,Computer Science,1,1,0,0,0,P
Outside NYC,25.99567019657989,3.0455870571088015,3.9561925866211216,Computer Science,1,0,1,0,1,P
